epoch,accuracy,loss,val_accuracy,val_loss
0,0.2836977541446686,1.9808522462844849,0.31700289249420166,1.436933994293213
1,0.3277055025100708,1.367552399635315,0.30547550320625305,1.5229620933532715
2,0.33075007796287537,1.362381100654602,0.3141210377216339,1.391878366470337
3,0.33517852425575256,1.347756028175354,0.2651296854019165,1.4299817085266113
4,0.33600884675979614,1.3474016189575195,0.3256484270095825,1.4110997915267944
5,0.32936617732048035,1.3600385189056396,0.31700289249420166,1.435027003288269
6,0.3299197256565094,1.347516417503357,0.27377521991729736,1.4272609949111938
7,0.345419317483902,1.342288851737976,0.3141210377216339,1.3889683485031128
8,0.3476335406303406,1.3348394632339478,0.3342939615249634,1.3725337982177734
9,0.333517849445343,1.3412561416625977,0.31123918294906616,1.3767391443252563
10,0.3504013419151306,1.33211350440979,0.33717578649520874,1.3711342811584473
11,0.3456960916519165,1.3357876539230347,0.3256484270095825,1.3723779916763306
12,0.34514254331588745,1.3314480781555176,0.33141210675239563,1.3929388523101807
13,0.34652644395828247,1.333167552947998,0.31123918294906616,1.3798649311065674
14,0.3570440113544464,1.3280540704727173,0.3141210377216339,1.3818670511245728
15,0.3623028099536896,1.325660228729248,0.3515850007534027,1.3828141689300537
16,0.3570440113544464,1.3263663053512573,0.319884717464447,1.4008328914642334
17,0.35870468616485596,1.3271799087524414,0.34870317578315735,1.3670480251312256
18,0.3537226617336273,1.3274884223937988,0.319884717464447,1.3764092922210693
19,0.35510656237602234,1.3269964456558228,0.34870317578315735,1.3919585943222046
20,0.3537226617336273,1.3210272789001465,0.3458213210105896,1.360487461090088
21,0.35759755969047546,1.319220781326294,0.35446685552597046,1.373518943786621
22,0.3556601107120514,1.3215388059616089,0.3458213210105896,1.3841694593429565
23,0.3581511080265045,1.322351336479187,0.32276657223701477,1.3745789527893066
24,0.35981178283691406,1.3169474601745605,0.3400576412677765,1.362103819847107
