epoch,accuracy,loss,val_accuracy,val_loss
0,0.38084694743156433,1.3233833312988281,0.4265129566192627,1.2586946487426758
1,0.6401882171630859,0.9757804870605469,0.6570605039596558,0.911529541015625
2,0.7932466268539429,0.586384117603302,0.6858789920806885,0.796796441078186
3,0.8466648459434509,0.41585731506347656,0.6945244669914246,0.8097154498100281
4,0.8807085752487183,0.3257957100868225,0.6945244669914246,0.8215962648391724
5,0.9111541509628296,0.2639230787754059,0.6772334575653076,0.8651353716850281
6,0.9291447401046753,0.21899175643920898,0.6772334575653076,0.9274566173553467
7,0.947135329246521,0.178883895277977,0.6829971075057983,0.9761646389961243
8,0.9548851251602173,0.15020246803760529,0.6743515729904175,1.0478553771972656
9,0.9620813727378845,0.13218939304351807,0.6628242135047913,1.1340038776397705
10,0.9659562706947327,0.1177656278014183,0.6541786789894104,1.1068079471588135
11,0.9673401713371277,0.11967349052429199,0.6772334575653076,1.160510540008545
12,0.9692776203155518,0.10505189001560211,0.6887608170509338,1.2197654247283936
13,0.9695543646812439,0.09089572727680206,0.6657060384750366,1.2452342510223389
14,0.973706066608429,0.0928988829255104,0.6772334575653076,1.2695094347000122
15,0.9759202599525452,0.08764343708753586,0.6743515729904175,1.287623643875122
16,0.975089967250824,0.07617473602294922,0.6743515729904175,1.3248480558395386
17,0.9761970639228821,0.0799696147441864,0.6657060384750366,1.342724084854126
18,0.977027416229248,0.07807944715023041,0.6685879230499268,1.3549301624298096
19,0.975643515586853,0.07553671300411224,0.6743515729904175,1.4018242359161377
20,0.977027416229248,0.06959721446037292,0.680115282535553,1.4266808032989502
21,0.975643515586853,0.07276372611522675,0.6772334575653076,1.4044023752212524
22,0.9797951579093933,0.061638884246349335,0.6570605039596558,1.4592514038085938
23,0.977027416229248,0.0679500550031662,0.6714697480201721,1.451055884361267
24,0.9786880612373352,0.060944896191358566,0.6657060384750366,1.528955340385437
